code,time_sch,dest,time_act,commercial,orig,pass_load
7L 1148,2023-12-20 00:00:00,Baku,2023-12-20 00:06:00,0,HKG,383
CX 261,2023-12-20 00:05:00,Paris,2023-12-20 00:16:00,1,HKG,336
QR 8411,2023-12-20 00:05:00,Doha,2023-12-20 00:19:00,0,HKG,289
CX 2083,2023-12-20 00:05:00,HKG,2023-12-20 00:45:00,0,"Portland
Anchorage",292
MU 725,2023-12-20 00:15:00,HKG,2023-12-20 00:04:00,1,Shanghai/PVG,345
CX 289,2023-12-20 00:15:00,Frankfurt,2023-12-20 00:18:00,1,HKG,358
CX 880,2023-12-20 00:15:00,Los Angeles,2023-12-20 00:18:00,1,HKG,169
LD 681,2023-12-20 00:20:00,HKG,2023-12-20 00:32:00,0,Taipei,233
HX 313,2023-12-20 00:20:00,HKG,2023-12-20 00:19:00,1,Beijing/PEK,322
KZ 203,2023-12-20 00:25:00,HKG,2023-12-20 00:42:00,0,Tokyo/NRT,305
LD 392,2023-12-20 00:25:00,HKG,2023-12-20 00:04:00,0,Penang,352
CX 105,2023-12-20 00:25:00,Melbourne,2023-12-20 00:34:00,1,HKG,381
OZ 746,2023-12-20 00:30:00,Seoul/ICN,2023-12-20 00:30:00,1,HKG,343
UO 651,2023-12-20 00:30:00,HKG,2023-12-20 00:31:00,1,Tokyo/NRT,359
7C 2107,2023-12-20 00:30:00,HKG,2023-12-20 01:09:00,1,Seoul/ICN,224
QR 815,2023-12-20 00:30:00,Doha,2023-12-20 00:28:00,1,HKG,286
EK 381,2023-12-20 00:35:00,Dubai,2023-12-20 00:37:00,1,HKG,279
HB 262,2023-12-20 00:40:00,HKG,2023-12-20 00:10:00,1,Ho Chi Minh,287
NH 8511,2023-12-20 00:40:00,HKG,2023-12-20 00:23:00,0,Tokyo/NRT,347
CX 383,2023-12-20 00:40:00,Zurich,2023-12-20 01:20:00,1,HKG,261
KE 179,2023-12-20 00:40:00,HKG,2023-12-20 01:34:00,1,Seoul/ICN,310
LD 456,2023-12-20 00:45:00,HKG,2023-12-20 01:02:00,0,"Cebu
Manila",370
LD 129,2023-12-20 00:45:00,HKG,2023-12-20 01:45:00,0,Seoul/ICN,225
MM 067,2023-12-20 00:45:00,HKG,2023-12-20 00:59:00,1,Osaka/Kansai,226
KE 178,2023-12-20 00:55:00,Seoul/ICN,2023-12-20 01:20:00,1,HKG,349
UO 627,2023-12-20 00:55:00,HKG,2023-12-20 02:01:00,1,Seoul/ICN,255
CX 872,2023-12-20 00:55:00,San Francisco,2023-12-20 00:55:00,1,HKG,281
CX 097,2023-12-20 00:55:00,HKG,2023-12-20 00:45:00,0,"Felipe Angeles
Guadalajara
Anchorage",223
CX 888,2023-12-20 01:00:00,Vancouver,2023-12-20 01:11:00,1,HKG,337
LD 205,2023-12-20 01:00:00,HKG,2023-12-20 01:10:00,0,Osaka/Kansai,334
BR 6090,2023-12-20 01:00:00,Taipei,2023-12-20 01:21:00,0,HKG,331
CI 5835,2023-12-20 01:00:00,HKG,2023-12-20 03:11:00,0,Taipei,282
ES 728,2023-12-20 01:10:00,Bahrain,2023-12-20 01:15:00,0,HKG,228
LD 769,2023-12-20 01:10:00,HKG,2023-12-20 01:40:00,0,Beijing/PEK,278
LD 217,2023-12-20 01:15:00,HKG,2023-12-20 01:09:00,0,Nagoya,265
CX 006,2023-12-20 01:15:00,Tokyo/NRT,2023-12-20 01:27:00,0,HKG,293
CX 035,2023-12-20 01:15:00,HKG,2023-12-20 02:19:00,0,"Osaka/Kansai
Seoul/ICN",357
8K 525,2023-12-20 01:20:00,HKG,2023-12-20 01:30:00,0,"Bangkok
Hanoi",316
LD 562,2023-12-20 01:20:00,HKG,2023-12-20 01:36:00,0,Ho Chi Minh,293
KE 313,2023-12-20 01:20:00,HKG,2023-12-20 01:47:00,0,Seoul/ICN,308
LD 783,2023-12-20 01:25:00,HKG,2023-12-20 01:33:00,0,Shanghai/PVG,283
HX 611,2023-12-20 01:25:00,HKG,2023-12-20 01:49:00,1,Tokyo/NRT,280
CX 524,2023-12-20 01:25:00,Tokyo/NRT,2023-12-20 11:18:00,1,HKG,301
LD 842,2023-12-20 01:25:00,HKG,2023-12-20 01:27:00,0,Bangkok,300
LD 326,2023-12-20 01:25:00,HKG,2023-12-20 01:29:00,0,Singapore,348
BR 6537,2023-12-20 01:25:00,HKG,2023-12-20 02:36:00,0,Taipei,329
TH 3507,2023-12-20 01:30:00,HKG,2023-12-20 01:16:00,0,Subang,340
7C 2108,2023-12-20 01:30:00,Seoul/ICN,2023-12-20 02:25:00,1,HKG,302
TW 117,2023-12-20 01:30:00,HKG,2023-12-20 02:24:00,1,Seoul/ICN,234
LD 209,2023-12-20 01:30:00,HKG,2023-12-20 01:35:00,0,Tokyo/NRT,246
MM 068,2023-12-20 01:35:00,Osaka/Kansai,2023-12-20 02:00:00,1,HKG,281
GH 1186,2023-12-20 01:40:00,HKG,2023-12-20 01:00:00,0,Namangan,307
CX 048,2023-12-20 01:40:00,HKG,2023-12-20 01:36:00,0,"Dhaka
Hanoi",390
CX 566,2023-12-20 01:50:00,Osaka/Kansai,2023-12-20 01:53:00,1,HKG,327
HX 707,2023-12-20 01:55:00,Denpasar,2023-12-20 02:03:00,1,HKG,273
HX 285,2023-12-20 02:00:00,HKG,2023-12-20 01:41:00,1,Taipei,300
RH 829,2023-12-20 02:00:00,Shanghai/PVG,2023-12-20 14:45:00,0,HKG,346
RH 318,2023-12-20 02:00:00,HKG,2023-12-20 13:22:00,0,Hanoi,359
KE 180,2023-12-20 02:05:00,Seoul/ICN,2023-12-20 02:50:00,1,HKG,350
5Y 8766,2023-12-20 02:10:00,HKG,2023-12-21 03:28:00,0,"Los Angeles
Seoul/ICN",240
QR 8066,2023-12-20 02:15:00,HKG,2023-12-20 02:42:00,0,Doha,388
HX 606,2023-12-20 02:20:00,Tokyo/NRT,2023-12-20 02:13:00,1,HKG,261
EK 9823,2023-12-20 02:25:00,Dubai/DWC,2023-12-20 02:10:00,0,HKG,313
TW 118,2023-12-20 02:30:00,Seoul/ICN,2023-12-20 03:25:00,1,HKG,225
CX 2090,2023-12-20 02:30:00,"Los Angeles
Anchorage
Dallas FT.Worth",2023-12-20 02:52:00,0,HKG,323
7L 571,2023-12-20 02:30:00,HKG,2023-12-20 01:54:00,0,"Baku
Almaty",334
OZ 969,2023-12-20 02:35:00,HKG,2023-12-20 05:27:00,0,Seoul/ICN,180
HX 637,2023-12-20 02:35:00,HKG,2023-12-20 02:26:00,1,Osaka/Kansai,299
5X 004,2023-12-20 02:40:00,HKG,2023-12-20 02:46:00,0,"Philadelphia
Cologne
London/STN",272
CX 2022,2023-12-20 02:40:00,HKG,2023-12-20 03:37:00,0,"Sydney
Melbourne",323
NH 8512,2023-12-20 02:40:00,Tokyo/NRT,2023-12-20 02:45:00,0,HKG,223
KZ 202,2023-12-20 02:45:00,Tokyo/NRT,2023-12-20 03:04:00,0,HKG,396
WW 865,2023-12-20 02:50:00,HKG,2023-12-20 02:28:00,0,Kuching,292
HX 602,2023-12-20 02:50:00,Osaka/Kansai,2023-12-20 02:40:00,1,HKG,284
QY 548,2023-12-20 02:55:00,HKG,2023-12-20 03:16:00,0,"Leipzig
Delhi",350
ES 725,2023-12-20 02:55:00,HKG,2023-12-20 02:47:00,0,Bahrain,254
CI 5836,2023-12-20 03:00:00,Taipei,2023-12-20 04:54:00,0,HKG,379
RH 570,2023-12-20 03:00:00,Taipei,2023-12-20 03:07:00,0,HKG,235
LD 327,2023-12-20 03:20:00,Singapore,2023-12-20 03:51:00,0,HKG,274
LD 768,2023-12-20 03:20:00,Beijing/PEK,2023-12-20 03:24:00,0,HKG,346
CX 844,2023-12-20 03:20:00,New York/JFK,2023-12-20 04:29:00,1,HKG,324
KE 314,2023-12-20 03:20:00,Seoul/ICN,2023-12-20 03:50:00,0,HKG,260
LD 128,2023-12-20 03:25:00,Seoul/ICN,2023-12-20 03:34:00,0,HKG,312
BR 6538,2023-12-20 03:25:00,Taipei,2023-12-20 04:29:00,0,HKG,349
K4 252,2023-12-20 03:25:00,HKG,2023-12-20 03:33:00,0,"Miami
Anchorage",255
LD 720,2023-12-20 03:25:00,Chengdu,2023-12-20 06:24:00,0,HKG,326
8K 526,2023-12-20 03:30:00,Bangkok,2023-12-20 04:05:00,0,HKG,354
LD 204,2023-12-20 03:30:00,Osaka/Kansai,2023-12-20 03:43:00,0,HKG,304
D0 516,2023-12-20 03:35:00,HKG,2023-12-20 03:44:00,0,"East Midlands
Leipzig
Dubai",268
LD 831,2023-12-20 03:40:00,Bangkok,2023-12-20 04:02:00,0,HKG,277
LD 457,2023-12-20 03:40:00,"Manila
Cebu",2023-12-20 04:03:00,0,HKG,329
LD 208,2023-12-20 03:45:00,Tokyo/NRT,2023-12-20 04:12:00,0,HKG,419
TH 3508,2023-12-20 03:45:00,Subang,2023-12-20 04:04:00,0,HKG,249
LD 561,2023-12-20 03:45:00,Ho Chi Minh,2023-12-20 03:50:00,0,HKG,316
LD 216,2023-12-20 03:45:00,Nagoya,2023-12-20 04:20:00,0,HKG,369
CX 099,2023-12-20 03:50:00,HKG,2023-12-20 09:30:00,0,"Chicago
Anchorage",277
WW 866,2023-12-20 03:50:00,Kuala Lumpur,2023-12-20 03:37:00,0,HKG,238
LD 782,2023-12-20 03:50:00,Shanghai/PVG,2023-12-20 04:19:00,0,HKG,244
3V 846,2023-12-20 03:55:00,HKG,2023-12-20 03:50:00,0,Leipzig,257
ES 743,2023-12-20 03:55:00,HKG,2023-12-20 03:46:00,0,"Bahrain
Bangkok",272
LD 391,2023-12-20 04:00:00,Penang,2023-12-20 04:11:00,0,HKG,304
PO 916,2023-12-20 04:05:00,Los Angeles,2023-12-20 04:50:00,0,HKG,305
UO 623,2023-12-20 04:10:00,HKG,2023-12-20 04:15:00,1,Tokyo/HND,334
K4 614,2023-12-20 04:10:00,HKG,2023-12-20 09:04:00,0,"Cincinnati
Anchorage",323
QR 8067,2023-12-20 04:15:00,Doha,2023-12-20 05:08:00,0,HKG,356
3S 543,2023-12-20 04:15:00,"Singapore
Leipzig",2023-12-20 04:29:00,0,HKG,219
UO 765,2023-12-20 04:20:00,HKG,2023-12-20 03:59:00,1,Phuket,264
LD 680,2023-12-20 04:20:00,Taipei,2023-12-20 04:37:00,0,HKG,218
CX 3261,2023-12-20 04:20:00,HKG,2023-12-20 04:26:00,0,Chongqing,320
CX 138,2023-12-20 04:25:00,HKG,2023-12-21 03:20:00,1,Sydney,292
ES 736,2023-12-20 04:25:00,"Bengaluru
Bahrain",2023-12-20 04:39:00,0,HKG,269
LD 721,2023-12-20 04:25:00,HKG,2023-12-20 03:24:00,0,Chengdu,274
RH 4569,2023-12-20 04:30:00,HKG,2023-12-20 05:26:00,0,Taipei,345
7L 8115,2023-12-20 04:30:00,"Anchorage
New York/JFK
Baku",2023-12-20 04:42:00,0,HKG,298
3S 522,2023-12-20 04:30:00,HKG,2023-12-20 03:59:00,0,"Leipzig
Bahrain",291
FX 5021,2023-12-20 04:30:00,HKG,2023-12-20 04:32:00,0,Osaka/Kansai,310
CX 662,2023-12-20 04:45:00,HKG,2023-12-20 07:04:00,1,Dhaka,234
CK 263,2023-12-20 04:55:00,HKG,2023-12-20 04:46:00,0,Shanghai/PVG,287
D0 036,2023-12-20 04:55:00,HKG,2023-12-20 06:12:00,0,"East Midlands
Almaty",304
CX 096,2023-12-20 05:00:00,"Anchorage
Felipe Angeles",2023-12-20 05:42:00,0,HKG,340
PO 789,2023-12-20 05:05:00,HKG,2023-12-20 05:34:00,0,"Miami
Anchorage",305
CX 811,2023-12-20 05:10:00,HKG,2023-12-20 04:19:00,1,Boston,394
CX 714,2023-12-20 05:20:00,HKG,2023-12-20 05:03:00,1,Singapore,329
CX 829,2023-12-20 05:25:00,HKG,2023-12-20 05:14:00,1,Toronto,309
AC 021,2023-12-20 05:30:00,HKG,2023-12-20 05:45:00,1,Vancouver,268
D0 515,2023-12-20 05:35:00,"Dubai
Leipzig
East Midlands",2023-12-20 06:00:00,0,HKG,244
3S 580,2023-12-20 05:35:00,HKG,2023-12-20 07:34:00,0,"Leipzig
Seoul/ICN",252
ES 722,2023-12-20 05:35:00,Bahrain,2023-12-20 05:42:00,0,HKG,388
CX 748,2023-12-20 05:50:00,HKG,2023-12-20 05:38:00,1,Johannesburg,327
UO 629,2023-12-20 05:55:00,HKG,2023-12-20 06:31:00,1,Tokyo/HND,281
UK 101,2023-12-20 05:55:00,HKG,2023-12-20 05:32:00,1,Delhi,364
RH 359,2023-12-20 05:55:00,HKG,2023-12-20 21:48:00,0,Milan/MXP,197
HX 780,2023-12-20 05:55:00,HKG,2023-12-20 06:14:00,1,Bangkok,255
QY 549,2023-12-20 06:00:00,"Almaty
Cologne",2023-12-20 06:11:00,0,HKG,169
CX 796,2023-12-20 06:00:00,HKG,2023-12-20 07:13:00,1,Jakarta,381
CX 640,2023-12-20 06:00:00,HKG,2023-12-20 06:11:00,1,Kathmandu,289
CX 883,2023-12-20 06:15:00,HKG,2023-12-20 05:47:00,1,Los Angeles,373
CX 698,2023-12-20 06:15:00,HKG,2023-12-20 06:04:00,1,Delhi,274
CX 873,2023-12-20 06:15:00,HKG,2023-12-20 06:52:00,1,San Francisco,302
3S 522,2023-12-20 06:30:00,"Tokyo/NRT
Cincinnati",2023-12-20 06:41:00,0,HKG,290
EK 9886,2023-12-20 06:35:00,HKG,2023-12-20 06:19:00,0,Dubai/DWC,365
CX 843,2023-12-20 06:35:00,HKG,2023-12-20 05:59:00,1,New York/JFK,344
O3 6925,2023-12-20 06:40:00,HKG,2023-12-20 06:32:00,0,Ningbo,302
QR 8406,2023-12-20 06:40:00,HKG,2023-12-20 05:54:00,0,"Doha
Singapore",422
UA 877,2023-12-20 06:45:00,HKG,2023-12-20 06:25:00,1,San Francisco,252
CX 288,2023-12-20 06:50:00,HKG,2023-12-20 07:07:00,1,Frankfurt,280
FX 5021,2023-12-20 06:50:00,"Liege
Paris
Memphis",2023-12-20 06:23:00,0,HKG,325
3V 847,2023-12-20 06:55:00,Leipzig,2023-12-20 07:05:00,0,HKG,318
CX 260,2023-12-20 07:00:00,HKG,2023-12-20 07:03:00,1,Paris,348
N8 504,2023-12-20 07:00:00,"Dubai/DWC
Tel Aviv",2023-12-20 19:09:00,0,HKG,313
D0 037,2023-12-20 07:00:00,"Almaty
East Midlands",2023-12-20 08:00:00,0,HKG,348
K4 615,2023-12-20 07:00:00,"Anchorage
New York/JFK",2023-12-20 11:23:00,0,HKG,297
CX 696,2023-12-20 07:00:00,HKG,2023-12-20 08:25:00,1,Mumbai,334
N8 575,2023-12-20 07:00:00,"Anchorage
New York/JFK",2023-12-20 20:45:00,0,HKG,354
CX 3020,2023-12-20 07:05:00,HKG,2023-12-20 08:19:00,0,"Riyadh
Dubai/DWC",355
CX 372,2023-12-20 07:05:00,HKG,2023-12-20 07:03:00,1,Madrid,270
HX 762,2023-12-20 07:05:00,HKG,2023-12-20 06:54:00,1,Bangkok,380
K4 253,2023-12-20 07:05:00,"Anchorage
Miami",2023-12-20 07:30:00,0,HKG,322
CV 9932,2023-12-20 07:05:00,HKG,2023-12-20 11:36:00,0,Luxembourg,332
CK 264,2023-12-20 07:10:00,Shanghai/PVG,2023-12-20 06:54:00,0,HKG,227
UO 618,2023-12-20 07:10:00,Seoul/ICN,2023-12-20 07:07:00,1,HKG,229
SV 984,2023-12-20 07:10:00,HKG,2023-12-20 12:29:00,0,Riyadh,236
K4 288,2023-12-20 07:10:00,HKG,2023-12-20 07:50:00,0,Los Angeles,371
OZ 952,2023-12-20 07:20:00,HKG,2023-12-20 08:41:00,0,Hanoi,309
OZ 970,2023-12-20 07:20:00,Seoul/ICN,2023-12-20 07:51:00,0,HKG,281
CX 881,2023-12-20 07:20:00,HKG,2023-12-20 07:12:00,1,Los Angeles,255
5Y 8105,2023-12-20 07:25:00,HKG,2023-12-20 07:29:00,0,"Chicago
Seoul/ICN",174
HX 682,2023-12-20 07:25:00,Okinawa,2023-12-20 07:17:00,1,HKG,434
CX 366,2023-12-20 07:30:00,Shanghai/PVG,2023-12-20 07:40:00,1,HKG,381
CX 907,2023-12-20 07:30:00,Manila,2023-12-20 07:40:00,1,HKG,296
CX 051,2023-12-20 07:30:00,HKG,2023-12-20 07:22:00,0,Shanghai/PVG,288
CX 156,2023-12-20 07:30:00,HKG,2023-12-20 06:50:00,1,Brisbane,328
UO 550,2023-12-20 07:35:00,Hanoi,2023-12-20 07:40:00,1,HKG,295
UO 820,2023-12-20 07:35:00,Okinawa,2023-12-20 07:50:00,1,HKG,321
CX 270,2023-12-20 07:35:00,HKG,2023-12-20 07:12:00,1,Amsterdam,316
UO 724,2023-12-20 07:35:00,Phuket,2023-12-20 07:39:00,1,HKG,331
CX 252,2023-12-20 07:40:00,HKG,2023-12-20 08:24:00,1,London/LHR,280
MU 726,2023-12-20 07:40:00,Shanghai/PVG,2023-12-20 07:42:00,1,HKG,311
UO 600,2023-12-20 07:45:00,Fukuoka,2023-12-20 07:57:00,1,HKG,353
CX 140,2023-12-20 07:45:00,HKG,2023-12-20 07:44:00,1,Perth,303
3S 593,2023-12-20 07:45:00,"Delhi
Leipzig",2023-12-20 09:19:00,0,HKG,271
CX 691,2023-12-20 07:50:00,Singapore,2023-12-20 07:57:00,1,HKG,296
UO 192,2023-12-20 07:50:00,Taichung,2023-12-20 07:57:00,1,HKG,260
RH 571,2023-12-20 07:55:00,HKG,2023-12-20 08:09:00,0,Taipei,276
HX 650,2023-12-20 07:55:00,Yonago,2023-12-20 08:04:00,1,HKG,290
O3 6926,2023-12-20 07:55:00,Ningbo,2023-12-20 07:22:00,0,HKG,287
CX 982,2023-12-20 07:55:00,Guangzhou,2023-12-20 08:02:00,1,HKG,316
HX 452,2023-12-20 07:55:00,Chengdu Tianfu,2023-12-20 08:01:00,1,HKG,308
CX 488,2023-12-20 08:00:00,Taipei,2023-12-20 08:01:00,1,HKG,295
UO 130,2023-12-20 08:00:00,Kaohsiung,2023-12-20 08:01:00,1,HKG,287
5X 067,2023-12-20 08:00:00,HKG,2023-12-20 11:25:00,0,"Louisville
Anchorage
Ho Chi Minh",290
HY 3577,2023-12-20 08:00:00,HKG,2023-12-20 07:45:00,0,Tashkent,352
CX 976,2023-12-20 08:05:00,HKG,2023-12-20 07:53:00,1,Manila,295
CX 526,2023-12-20 08:10:00,Tokyo/NRT,2023-12-20 08:17:00,1,HKG,248
5J 272,2023-12-20 08:10:00,HKG,2023-12-20 07:56:00,1,Manila,249
CX 596,2023-12-20 08:10:00,Osaka/Kansai,2023-12-20 08:29:00,1,HKG,392
CI 922,2023-12-20 08:10:00,Taipei,2023-12-20 08:24:00,1,HKG,355
CX 633,2023-12-20 08:15:00,Penang,2023-12-20 08:30:00,1,HKG,410
HB 340,2023-12-20 08:15:00,Osaka/Kansai,2023-12-20 08:33:00,1,HKG,249
CX 2046,2023-12-20 08:20:00,HKG,2023-12-20 07:51:00,0,Delhi,186
CX 994,2023-12-20 08:20:00,Fuzhou,2023-12-20 08:29:00,1,HKG,353
CX 921,2023-12-20 08:20:00,Cebu,2023-12-20 08:34:00,1,HKG,405
CX 767,2023-12-20 08:25:00,Ho Chi Minh,2023-12-20 08:33:00,1,HKG,278
CX 257,2023-12-20 08:25:00,London/LHR,2023-12-20 08:38:00,1,HKG,286
HB 760,2023-12-20 08:25:00,Seoul/ICN,2023-12-20 08:29:00,1,HKG,315
HX 640,2023-12-20 08:25:00,Fukuoka,2023-12-20 08:23:00,1,HKG,349
CA 118,2023-12-20 08:30:00,Beijing/PEK,2023-12-20 08:29:00,1,HKG,355
CV 4802,2023-12-20 08:30:00,HKG,2023-12-20 07:46:00,0,"Luxembourg
Doha
Bangkok",325
CX 705,2023-12-20 08:30:00,Bangkok,2023-12-20 08:56:00,1,HKG,250
CX 564,2023-12-20 08:30:00,"Taipei
Osaka/Kansai",2023-12-20 08:40:00,1,HKG,354
CX 936,2023-12-20 08:30:00,Wuhan,2023-12-20 08:41:00,1,HKG,133
CX 771,2023-12-20 08:35:00,Phuket,2023-12-20 08:53:00,1,HKG,237
CX 607,2023-12-20 08:35:00,Phnom Penh,2023-12-20 08:45:00,1,HKG,314
RH 830,2023-12-20 08:35:00,HKG,2023-12-20 22:53:00,0,Shanghai/PVG,290
EK 9887,2023-12-20 08:40:00,Dubai/DWC,2023-12-20 08:44:00,0,HKG,264
CX 3095,2023-12-20 08:40:00,Singapore,2023-12-20 08:48:00,0,HKG,230
QR 8407,2023-12-20 08:40:00,Doha,2023-12-20 08:33:00,0,HKG,231
HX 690,2023-12-20 08:40:00,Sapporo,2023-12-20 08:40:00,1,HKG,276
CZ 5010,2023-12-20 08:40:00,Beijing/PKX,2023-12-20 08:43:00,1,HKG,267
MH 079,2023-12-20 08:45:00,Kuala Lumpur,2023-12-20 08:50:00,1,HKG,332
CX 3068,2023-12-20 08:45:00,"Anchorage
Felipe Angeles",2023-12-20 09:03:00,0,HKG,393
CX 512,2023-12-20 08:45:00,Fukuoka,2023-12-20 08:49:00,1,HKG,291
CX 2057,2023-12-20 08:50:00,HKG,2023-12-20 12:20:00,0,Shanghai/PVG,274
HX 664,2023-12-20 08:50:00,Nagoya,2023-12-20 08:54:00,1,HKG,315
CX 432,2023-12-20 08:50:00,Kaohsiung,2023-12-20 08:57:00,1,HKG,251
CV 9933,2023-12-20 08:50:00,"Baku
Luxembourg",2023-12-20 13:40:00,0,HKG,248
BR 891,2023-12-20 08:50:00,HKG,2023-12-20 09:14:00,1,Taipei,261
NJ 5014,2023-12-20 08:55:00,"Sharjah
Leipzig",2023-12-20 09:43:00,0,HKG,257
UO 686,2023-12-20 08:55:00,Osaka/Kansai,2023-12-20 09:43:00,1,HKG,318
UK 102,2023-12-20 08:55:00,Delhi,2023-12-20 09:05:00,1,HKG,266
5J 240,2023-12-20 08:55:00,HKG,2023-12-20 08:49:00,1,Cebu,268
CX 548,2023-12-20 08:55:00,Tokyo/HND,2023-12-20 09:10:00,1,HKG,232
CX 901,2023-12-20 09:00:00,Manila,2023-12-20 09:18:00,1,HKG,281
CX 530,2023-12-20 09:00:00,"Taipei
Nagoya",2023-12-20 09:25:00,1,HKG,315
7L 246,2023-12-20 09:00:00,HKG,2023-12-20 17:59:00,0,"Baku
Tashkent",312
HX 236,2023-12-20 09:00:00,Shanghai/PVG,2023-12-20 09:15:00,1,HKG,261
CX 759,2023-12-20 09:00:00,Singapore,2023-12-20 09:09:00,1,HKG,271
