code,time_sch,dest,time_act,commercial,orig
EK 9784,00:00,HKG,At gate 00:00,0,Dubai/DWC
CX 261,00:05,Paris,Dep 00:14,1,HKG
CX 880,00:15,Los Angeles,Dep 00:23,1,HKG
CX 289,00:15,Frankfurt,Dep 01:16,1,HKG
MU 725,00:15,HKG,At gate 00:04,1,Shanghai/PVG
CX 2067,00:15,"Dubai/DWC
Amsterdam",Dep 00:57,0,HKG
CX 315,00:20,Madrid,Dep 00:25,1,HKG
LD 681,00:20,HKG,At gate 01:10,0,Taipei
HX 313,00:20,HKG,At gate 00:13,1,Beijing/PEK
CX 636,00:20,HKG,At gate 00:12,1,Singapore
KZ 203,00:25,HKG,At gate 01:07,0,Tokyo/NRT
LD 392,00:25,HKG,At gate 00:26,0,Penang
CX 105,00:25,Melbourne,Dep 00:37,1,HKG
UO 651,00:30,HKG,At gate 01:01,1,Tokyo/NRT
QR 815,00:30,Doha,Dep 00:26,1,HKG
7C 2107,00:30,HKG,At gate 01:05,1,Seoul/ICN
CX 749,00:30,Johannesburg,Dep 00:52,1,HKG
OZ 746,00:30,Seoul/ICN,Dep 01:09,1,HKG
EK 381,00:35,Dubai,Dep 00:35,1,HKG
KE 179,00:40,HKG,At gate 01:20,1,Seoul/ICN
CX 383,00:40,Zurich,Dep 01:02,1,HKG
LD 456,00:45,HKG,At gate 01:28,0,"Cebu
Manila"
MM 067,00:45,HKG,At gate 01:48,1,Osaka/Kansai
LD 129,00:45,HKG,At gate 01:16,0,Seoul/ICN
UO 627,00:55,HKG,At gate 01:12,1,Seoul/ICN
KE 178,00:55,Seoul/ICN,Dep 01:25,1,HKG
CX 097,00:55,HKG,At gate 03:54,0,"Felipe Angeles
Guadalajara
Anchorage"
CX 872,00:55,San Francisco,Dep 01:03,1,HKG
CX 888,01:00,Vancouver,Dep 01:19,1,HKG
LD 205,01:00,HKG,At gate 01:30,0,Osaka/Kansai
CI 5835,01:00,HKG,At gate 04:46,0,Taipei
ES 728,01:10,Bahrain,Dep 01:39,0,HKG
NH 8511,01:10,HKG,At gate 01:41,0,Tokyo/NRT
CX 219,01:10,Manchester,Dep 01:12,1,HKG
LD 769,01:10,HKG,At gate 00:56,0,Beijing/PEK
EK 9837,01:10,Dubai/DWC,Dep 07:25,0,HKG
CX 006,01:15,Tokyo/NRT,Dep 01:42,0,HKG
CX 035,01:15,HKG,At gate 03:18,0,"Osaka/Kansai
Seoul/ICN"
UO 863,01:15,HKG,At gate 01:52,1,Osaka/Kansai
LD 217,01:15,HKG,At gate 01:16,0,Nagoya
HX 763,01:20,Bangkok,Dep 01:32,1,HKG
KE 313,01:20,HKG,At gate 02:01,0,Seoul/ICN
8K 525,01:20,HKG,At gate 01:30,0,Hanoi
LD 562,01:20,HKG,At gate 01:06,0,Ho Chi Minh
LD 326,01:25,HKG,At gate 01:36,0,Singapore
LD 842,01:25,HKG,At gate 01:07,0,Bangkok
CX 524,01:25,Tokyo/NRT,Dep 01:38,1,HKG
HX 611,01:25,HKG,At gate 03:13,1,Tokyo/NRT
SV 987,01:25,Riyadh,Dep 01:33,0,HKG
BR 6537,01:25,HKG,At gate 01:28,0,Taipei
LD 783,01:25,HKG,At gate 01:22,0,Shanghai/PVG
LD 209,01:30,HKG,At gate 02:05,0,Tokyo/NRT
7C 2108,01:30,Seoul/ICN,Dep 02:09,1,HKG
TH 3507,01:30,HKG,At gate 01:46,0,Subang
TW 117,01:30,HKG,At gate 03:03,1,Seoul/ICN
MM 068,01:35,Osaka/Kansai,Dep 03:00,1,HKG
CX 566,01:50,Osaka/Kansai,Dep 02:08,1,HKG
HX 707,01:55,Denpasar,Dep 01:54,1,HKG
HX 285,02:00,HKG,At gate 02:11,1,Taipei
3S 520,02:00,HKG,At gate 00:56,0,"Leipzig
Bahrain"
HX 769,02:05,Bangkok,Dep 02:06,1,HKG
KE 180,02:05,Seoul/ICN,Dep 02:20,1,HKG
EK 9785,02:15,Dubai/DWC,Dep 02:09,0,HKG
HX 606,02:20,Tokyo/NRT,Dep 02:14,1,HKG
7L 628,02:30,HKG,At gate 01:22 (23/12/2023),0,"Baku
Bishkek"
TW 118,02:30,Seoul/ICN,Dep 04:11,1,HKG
OZ 969,02:35,HKG,At gate 07:25,0,Seoul/ICN
HX 637,02:35,HKG,At gate 02:32,1,Osaka/Kansai
5X 004,02:40,HKG,At gate 02:46,0,"Philadelphia
Cologne
London/STN"
NH 8512,02:40,Tokyo/NRT,Dep 03:04,0,HKG
5Y 8197,02:43,HKG,At gate 03:10,0,Seoul/ICN
KZ 202,02:45,Tokyo/NRT,Dep 03:15,0,HKG
HX 602,02:50,Osaka/Kansai,Dep 02:38,1,HKG
RH 962,02:55,Osaka/Kansai,Dep 09:52,0,HKG
ES 725,02:55,HKG,At gate 02:41,0,Bahrain
QY 548,02:55,HKG,At gate 03:46,0,"Leipzig
Delhi"
CI 5836,03:00,Taipei,Dep 06:30,0,HKG
LD 768,03:20,Beijing/PEK,Dep 04:14,0,HKG
PO 789,03:20,HKG,At gate 07:31,0,"Miami
Anchorage"
LD 327,03:20,Singapore,Dep 03:27,0,HKG
CX 844,03:20,New York/JFK,Dep 04:34,1,HKG
KE 314,03:20,Seoul/ICN,Dep 03:28,0,HKG
LD 720,03:25,Chengdu,Dep 03:19,0,HKG
LD 128,03:25,Seoul/ICN,Dep 03:34,0,HKG
K4 252,03:25,HKG,At gate 07:59,0,"Miami
Anchorage"
BR 6538,03:25,Taipei,Dep 03:19,0,HKG
LD 204,03:30,Osaka/Kansai,Dep 04:06,0,HKG
8K 526,03:30,Bangkok,Dep 03:41,0,HKG
D0 516,03:35,HKG,At gate 03:43,0,"East Midlands
Dubai"
LD 457,03:40,"Manila
Cebu",Dep 04:09,0,HKG
CX 2070,03:40,"Anchorage
Miami",Dep 05:01,0,HKG
LD 831,03:40,Bangkok,Dep 03:58,0,HKG
LD 208,03:45,Tokyo/NRT,Dep 03:49,0,HKG
TH 3508,03:45,Subang,Dep 04:00,0,HKG
LD 561,03:45,Ho Chi Minh,Dep 04:19,0,HKG
LD 216,03:45,Nagoya,Dep 03:57,0,HKG
LD 782,03:50,Shanghai/PVG,Dep 03:59,0,HKG
ES 743,03:55,HKG,At gate 03:48,0,"Bahrain
Bangkok"
3V 846,03:55,HKG,At gate 04:17,0,Leipzig
LD 391,04:00,Penang,Dep 18:52,0,HKG
UO 623,04:10,HKG,At gate 04:46,1,Tokyo/HND
K4 614,04:10,HKG,At gate 10:20,0,"Cincinnati
Anchorage"
3S 543,04:15,"Singapore
Leipzig",Dep 04:38,0,HKG
LD 680,04:20,Taipei,Dep 04:51,0,HKG
UO 765,04:20,HKG,At gate 03:58,1,Phuket
LD 721,04:25,HKG,At gate 04:05,0,Chengdu
ES 736,04:25,"Bengaluru
Bahrain",Dep 04:45,0,HKG
CX 138,04:25,HKG,At gate 04:30,1,Sydney
3S 522,04:30,HKG,At gate 03:55,0,"Leipzig
Bahrain"
RH 4569,04:30,HKG,At gate 19:54,0,Taipei
FX 5217,04:30,HKG,At gate 04:59,0,Osaka/Kansai
N8 572,04:35,HKG,At gate 07:42,0,Anchorage
CX 3509,04:40,HKG,At gate 05:51,0,"Felipe Angeles
Guadalajara
Anchorage"
CX 662,04:45,HKG,At gate 04:21,1,Dhaka
CX 3265,04:50,HKG,At gate 07:32,0,Chongqing
CX 096,05:00,"Anchorage
Felipe Angeles",Dep 05:50,0,HKG
7L 629,05:00,Baku,Dep 03:25 (23/12/2023),0,HKG
TK 6090,05:10,HKG,At gate 05:16,0,"Istanbul
Navoi"
CX 811,05:10,HKG,At gate 04:41,1,Boston
HB 232,05:10,HKG,At gate 05:18,1,Manila
CX 714,05:20,HKG,At gate 05:23,1,Singapore
CX 829,05:25,HKG,At gate 04:51,1,Toronto
AC 021,05:30,HKG,At gate 06:44,1,Vancouver
D0 515,05:35,"Dubai
East Midlands",Dep 05:47,0,HKG
CX 2032,05:35,HKG,At gate 05:19,0,Chennai
ES 722,05:35,Bahrain,Dep 05:39,0,HKG
3S 580,05:35,HKG,At gate 05:52,0,"Leipzig
Seoul/ICN"
UO 629,05:55,HKG,At gate 07:34,1,Tokyo/HND
RH 359,05:55,HKG,At gate 14:52,0,Milan/MXP
UK 101,05:55,HKG,At gate 06:06,1,Delhi
HX 780,05:55,HKG,At gate 05:38,1,Bangkok
CX 796,06:00,HKG,At gate 06:25,1,Jakarta
QY 549,06:00,"Almaty
Cologne",Dep 06:55,0,HKG
K4 288,06:05,HKG,At gate 16:46,0,"YHM
Los Angeles"
SV 976,06:05,HKG,At gate 06:46,0,Riyadh
CX 698,06:15,HKG,At gate 06:10,1,Delhi
RH 331,06:25,Bangkok,Dep 21:06,0,HKG
CX 234,06:30,HKG,At gate 06:23,1,Milan/MXP
3S 522,06:30,"Tokyo/NRT
Cincinnati",Dep 06:30,0,HKG
CX 843,06:35,HKG,At gate 06:06,1,New York/JFK
EK 9238,06:35,HKG,At gate 06:20,0,Dubai/DWC
O3 6925,06:40,HKG,At gate 06:45,0,Ningbo
CX 865,06:45,HKG,At gate 07:36,1,Vancouver
CX 2038,06:45,HKG,At gate 08:11,0,"Paris
Amsterdam"
UA 877,06:45,HKG,At gate 06:38,1,San Francisco
CX 3258,06:50,Shanghai/PVG,Dep 07:34,0,HKG
FX 5217,06:50,"Liege
Paris
Memphis",Dep 06:55,0,HKG
CX 288,06:50,HKG,At gate 06:47,1,Frankfurt
CX 178,06:55,HKG,At gate 06:57,1,Melbourne
3V 847,06:55,Leipzig,Dep 07:33,0,HKG
RH 352,07:00,HKG,At gate 06:07,0,Manila
CX 260,07:00,HKG,At gate 07:29,1,Paris
K4 615,07:00,"Anchorage
Cincinnati",Dep 12:49,0,HKG
CX 216,07:00,HKG,At gate 07:59,1,Manchester
K4 253,07:05,"Anchorage
Miami",Dep 11:47,0,HKG
HX 762,07:05,HKG,At gate 06:50,1,Bangkok
TK 6091,07:10,Istanbul,Dep 07:51,0,HKG
UO 618,07:10,Seoul/ICN,Dep 07:34,1,HKG
CX 095,07:15,HKG,At gate 08:24,0,"New York/JFK
Anchorage"
CX 881,07:20,HKG,At gate 07:20,1,Los Angeles
OZ 970,07:20,Seoul/ICN,Dep 09:32,0,HKG
HX 682,07:25,Okinawa,Dep 07:18,1,HKG
3S 516,07:25,HKG,At gate 07:10,0,Leipzig
N8 573,07:30,"Anchorage
Chicago",Dep 11:53,0,HKG
CX 156,07:30,HKG,At gate 07:18,1,Brisbane
CX 907,07:30,Manila,Dep 07:43,1,HKG
CX 366,07:30,Shanghai/PVG,Dep 07:50,1,HKG
UO 724,07:35,Phuket,Dep 08:08,1,HKG
3S 593,07:35,"Delhi
Leipzig",Dep 07:59,0,HKG
UO 820,07:35,Okinawa,Dep 07:41,1,HKG
UO 550,07:35,Hanoi,Dep 07:50,1,HKG
CX 270,07:35,HKG,At gate 08:35,1,Amsterdam
MU 726,07:40,Shanghai/PVG,Dep 07:49,1,HKG
CX 252,07:40,HKG,At gate 07:01,1,London/LHR
CX 140,07:45,HKG,At gate 08:32,1,Perth
UO 600,07:45,Fukuoka,Dep 07:49,1,HKG
CX 958,07:50,Hangzhou,Dep 08:10,1,HKG
CX 691,07:50,Singapore,Dep 08:02,1,HKG
UO 192,07:50,Taichung,Dep 07:58,1,HKG
HX 650,07:55,Yonago,Dep 08:16,1,HKG
O3 6926,07:55,Ningbo,Dep 07:44,0,HKG
CX 982,07:55,Guangzhou,Dep 07:58,1,HKG
HX 452,07:55,Chengdu Tianfu,Dep 08:16,1,HKG
CX 488,08:00,Taipei,Dep 08:08,1,HKG
UO 130,08:00,Kaohsiung,Dep 08:01,1,HKG
CX 976,08:05,HKG,At gate 08:20,1,Manila
HX 764,08:05,HKG,At gate 08:07,1,Bangkok
CX 434,08:10,Seoul/ICN,Dep 08:25,1,HKG
CX 596,08:10,Osaka/Kansai,Dep 08:25,1,HKG
RW 662,08:10,HKG,At gate 08:27,1,Clark
5J 272,08:10,HKG,At gate 08:24,1,Manila
CI 922,08:10,Taipei,Dep 08:17,1,HKG
CX 526,08:10,Tokyo/NRT,Dep 08:11,1,HKG
CX 633,08:15,Penang,Dep 08:18,1,HKG
HB 340,08:15,Osaka/Kansai,Dep 08:17,1,HKG
CX 994,08:20,Fuzhou,Dep 08:48,1,HKG
CX 384,08:20,Wenzhou,Dep 08:31,1,HKG
CX 767,08:25,Ho Chi Minh,Dep 08:34,1,HKG
CX 257,08:25,London/LHR,Dep 08:35,1,HKG
SV 977,08:25,Jeddah,Dep 09:37,0,HKG
CX 037,08:25,"Dubai/DWC
London/LHR",Dep 09:52,0,HKG
HB 760,08:25,Seoul/ICN,Dep 08:33,1,HKG
HX 640,08:25,Fukuoka,Dep 08:35,1,HKG
CX 564,08:30,"Taipei
Osaka/Kansai",Dep 08:44,1,HKG
CX 936,08:30,Wuhan,Dep 08:33,1,HKG
CV 7954,08:30,HKG,At gate 10:55,0,"Luxembourg
Bahrain
Ho Chi Minh"
CA 118,08:30,Beijing/PEK,Dep 08:37,1,HKG
CX 705,08:30,Bangkok,Dep 08:38,1,HKG
HX 770,08:35,HKG,At gate 08:41,1,Bangkok
CX 771,08:35,Phuket,Dep 09:02,1,HKG
CZ 5010,08:40,Beijing/PKX,Dep 08:47,1,HKG
EK 9239,08:40,Dubai/DWC,Dep 08:49,0,HKG
HX 690,08:40,Sapporo,Dep 08:55,1,HKG
CX 139,08:45,Sydney,Dep 08:52,1,HKG
MH 079,08:45,Kuala Lumpur,Dep 08:57,1,HKG
CX 741,08:50,Hanoi,Dep 09:09,1,HKG
K4 289,08:50,Los Angeles,Dep 20:12,0,HKG
AK 8008,08:50,HKG,At gate 00:10 (23/12/2023),0,Kota Kinabalu
CX 3251,08:50,HKG,At gate 08:35,0,Shanghai/PVG
BR 891,08:50,HKG,At gate 09:22,1,Taipei
HX 664,08:50,Nagoya,Dep 09:15,1,HKG
CX 432,08:50,Kaohsiung,Dep 08:57,1,HKG
HB 702,08:55,Taipei,Dep 08:50,1,HKG
UO 686,08:55,Osaka/Kansai,Dep 09:00,1,HKG
UK 102,08:55,Delhi,Dep 09:02,1,HKG
CX 548,08:55,Tokyo/HND,Dep 09:02,1,HKG
CV 4324,08:55,HKG,At gate 09:35,0,"Luxembourg
Dammam"
5J 240,08:55,HKG,At gate 08:51,1,Cebu
CX 386,09:00,Beijing/PEK,Dep 09:09,1,HKG
CC 394,09:00,"Dubai/DWC
Glasgow",Dep 18:46,0,HKG
HX 236,09:00,Shanghai/PVG,Dep 09:14,1,HKG
HX 628,09:00,Seoul/ICN,Dep 09:09,1,HKG
CX 759,09:00,Singapore,Dep 09:21,1,HKG
CX 901,09:00,Manila,Dep 09:55,1,HKG
CX 530,09:00,"Taipei
Nagoya",Dep 09:08,1,HKG
UO 674,09:05,Busan,Dep 09:23,1,HKG
HX 252,09:05,Taipei,Dep 09:16,1,HKG
SQ 899,09:05,Singapore,Dep 09:33,1,HKG
CX 504,09:05,Tokyo/NRT,Dep 09:25,1,HKG
CI 601,09:05,HKG,At gate 09:38,1,Taipei
CX 580,09:10,Sapporo,Dep 09:19,1,HKG
UO 758,09:10,Bangkok,Dep 09:46,1,HKG
RW 906,09:10,Davao,Dep 10:10,1,HKG
CX 694,09:10,HKG,At gate 09:24,1,Delhi
CX 2073,09:10,Singapore,Dep 10:46,0,HKG
HX 608,09:15,Tokyo/NRT,Dep 09:35,1,HKG
5J 150,09:15,HKG,At gate 09:01,1,Clark
CX 410,09:20,Seoul/ICN,Dep 10:14,1,HKG
CX 777,09:20,Jakarta,Dep 10:01,1,HKG
HB 320,09:20,Tokyo/NRT,Dep 09:26,1,HKG
CI 933,09:20,HKG,At gate 09:31,1,Kaohsiung
5J 273,09:25,Manila,Dep 09:46,1,HKG
3S 516,09:25,Cincinnati,Dep 09:24,0,HKG
QR 8408,09:25,HKG,At gate 20:09,0,"Doha
Singapore"
UO 848,09:25,Tokyo/NRT,Dep 09:40,1,HKG
RH 371,09:30,Singapore,Dep 11:27,0,HKG
UO 552,09:30,Da Nang,Dep 09:42,1,HKG
FD 515,09:30,HKG,At gate 09:28,1,Chiang Mai
CX 830,09:30,New York/JFK,Dep 10:21,1,HKG
CX 624,09:35,HKG,At gate 09:24,1,Bengaluru
CX 660,09:35,HKG,At gate 09:53,1,Mumbai
MU 724,09:35,Shanghai/PVG,Dep 10:47,1,HKG
UO 642,09:40,Takamatsu,Dep 10:02,1,HKG
HX 308,09:40,Beijing/PKX,Dep 09:41,1,HKG
RH 9375,09:40,Chennai,Dep 16:54,0,HKG
5J 241,09:40,Cebu,Dep 10:01,1,HKG
5J 110,09:45,HKG,At gate 09:51,1,Manila
CX 368,09:45,Shanghai/PVG,Dep 09:55,1,HKG
CX 536,09:45,Nagoya,Dep 09:59,1,HKG
PO 8200,09:45,"Anchorage
Cincinnati",Dep 10:07,0,HKG
FD 508,09:50,HKG,At gate 09:34,1,Bangkok/DMK
CX 615,09:55,Bangkok,Dep 10:19,1,HKG
UO 680,09:55,Nagoya,Dep 10:23,1,HKG
CI 903,09:55,HKG,At gate 10:45,1,Taipei
QR 8434,09:55,HKG,At gate 09:59,0,Doha
UO 850,09:55,Osaka/Kansai,Dep 10:31,1,HKG
BR 892,10:00,Taipei,Dep 10:40,1,HKG
CX 450,10:00,"Taipei
Tokyo/NRT",Dep 10:57,1,HKG
5J 149,10:00,Clark,Dep 10:29,1,HKG
CX 3800,10:00,HKG,At gate 10:40,1,Toulouse
CX 785,10:00,Denpasar,Dep 10:28,1,HKG
CX 348,10:00,Shanghai/SHA,Dep 10:20,1,HKG
TR 978,10:05,HKG,At gate 09:39,1,Singapore
BR 851,10:05,HKG,At gate 10:33,1,Taipei
PO 790,10:05,"Los Angeles
Miami",Dep 09:49,0,HKG
CX 954,10:10,Qingdao,Dep 11:04,1,HKG
AK 8011,10:10,Kuala Lumpur,Dep 01:53 (23/12/2023),0,HKG
HX 231,10:15,HKG,At gate 10:10,1,Shanghai/PVG
AC 022,10:15,Vancouver,Dep 10:26,1,HKG
UO 616,10:15,Kumamoto,Dep 10:42,1,HKG
PR 300,10:15,HKG,At gate 10:02,1,Manila
CI 934,10:20,Kaohsiung,Dep 10:27,1,HKG
CI 602,10:20,Taipei,Dep 10:50,1,HKG
CX 986,10:20,Chengdu Tianfu,Dep 10:32,1,HKG
HX 497,10:20,HKG,At gate 10:22,1,Chongqing
JL 736,10:20,Tokyo/NRT,Dep 10:27,1,HKG
CX 723,10:25,Kuala Lumpur,Dep 11:04,1,HKG
CX 356,10:25,Nanjing,Dep 10:33,1,HKG
CX 584,10:25,Sapporo,Dep 10:39,1,HKG
CX 828,10:25,Toronto,Dep 10:46,1,HKG
CX 494,10:25,Taipei,Dep 11:19,1,HKG
MU 9623,10:25,HKG,At gate 09:47,1,Kunming
CX 407,10:25,HKG,At gate 10:21,1,Taipei
MU 765,10:30,HKG,At gate 10:36,1,Nanjing
F5 8839,10:30,Dammam,Dep 10:57,0,HKG
CX 912,10:30,HKG,At gate 10:19,1,Manila
CX 520,10:30,Tokyo/NRT,Dep 11:26,1,HKG
FD 516,10:30,Chiang Mai,Dep 10:34,1,HKG
CV 7955,10:30,"Ashgabat
Luxembourg",Dep 12:29,0,HKG
MF 8715,10:35,HKG,At gate 10:24,1,Quanzhou
HX 129,10:35,HKG,At gate 10:38,1,Hangzhou
HO 1649,10:40,HKG,At gate 10:49,1,Nanjing
CX 424,10:45,Kaohsiung,Dep 11:00,1,HKG
CX 506,10:45,Osaka/Kansai,Dep 11:08,1,HKG
FD 509,10:45,Bangkok/DMK,Dep 11:10,1,HKG
CX 738,10:45,HKG,At gate 10:26,1,Dubai
UO 172,10:50,Taichung,Dep 11:29,1,HKG
HX 221,10:50,HKG,At gate 11:02,1,Nanjing
MU 721,10:50,HKG,At gate 10:46,1,Shanghai/SHA
UO 870,10:50,Tokyo/NRT,Dep 10:58,1,HKG
UO 625,10:50,HKG,At gate 11:07,1,Tokyo/HND
Z2 1264,10:55,HKG,At gate 11:45,1,Manila
UA 862,11:00,San Francisco,Dep 10:56,1,HKG
5J 111,11:00,Manila,Dep 11:51,1,HKG
CX 917,11:00,HKG,At gate 10:30,1,Chengdu Tianfu
CX 163,11:00,Melbourne,Dep 11:03,1,HKG
UO 668,11:00,Fukuoka,Dep 11:02,1,HKG
CI 904,11:05,Taipei,Dep 11:52,1,HKG
CX 946,11:05,Xian,Dep 11:12,1,HKG
CV 5325,11:05,"Anchorage
Chicago
Luxembourg",Dep 11:05,0,HKG
TR 979,11:10,Singapore,Dep 11:20,1,HKG
